Date,Price
21-Sep,2000
27-Sep,4000
28-Sep,4000
29-Sep,3500
30-Sep,3500
1-Oct,3500
2-Oct,3500
3-Oct,3500
4-Oct,3500
5-Oct,3500
6-Oct,3900
7-Oct,3200
8-Oct,3188
9-Oct,3000
10-Oct,3000
11-Oct,3000
12-Oct,3188
13-Oct,3188
14-Oct,2900
15-Oct,3499
16-Oct,3499
17-Oct,2499
18-Oct,3444
19-Oct,3444
20-Oct,3439
21-Oct,3439
22-Oct,3499
23-Oct,3416
24-Oct,3416
25-Oct,3399
26-Oct,2999
27-Oct,3399
28-Oct,3399
29-Oct,3299
30-Oct,3399
31-Oct,2990
1-Nov,3399
2-Nov,3299
3-Nov,3150
4-Nov,3099
5-Nov,2905
6-Nov,2905
7-Nov,2905
8-Nov,2905
9-Nov,2905
10-Nov,2699
11-Nov,2589
12-Nov,2439
13-Nov,2319
14-Nov,2149
15-Nov,2149
16-Nov,2149
17-Nov,2400
18-Nov,2794
19-Nov,2699
20-Nov,2699
21-Nov,2699
22-Nov,2699
23-Nov,2599
24-Nov,2599
25-Nov,2594
26-Nov,2700
27-Nov,2599
28-Nov,2880
29-Nov,2699
30-Nov,2700
1-Dec,2399
2-Dec,2699
3-Dec,2500
4-Dec,2500
5-Dec,2500
6-Dec,2500
7-Dec,2500
8-Dec,2999
9-Dec,2999
10-Dec,2980
11-Dec,2974
12-Dec,3799
13-Dec,2999
14-Dec,3099
15-Dec,2650
16-Dec,2650
17-Dec,2980
18-Dec,2599
19-Dec,2599
20-Dec,2588
21-Dec,2599
22-Dec,2599
23-Dec,2599
24-Dec,2599
25-Dec,2599
26-Dec,2599
27-Dec,2599
28-Dec,2589
29-Dec,2589
30-Dec,2589
31-Dec,2581
1-Jan,3099
2-Jan,3274
3-Jan,3090
4-Jan,2599
5-Jan,2599
6-Jan,2200
7-Jan,2175
8-Jan,2249
9-Jan,2200
10-Jan,2199
11-Jan,2449
12-Jan,2439
13-Jan,2411
14-Jan,2299
15-Jan,2198
16-Jan,2298
17-Jan,2298
18-Jan,2279
19-Jan,2425
20-Jan,2409
21-Jan,2425
22-Jan,2409
23-Jan,2397
24-Jan,2397
25-Jan,2350
26-Jan,2325
27-Jan,2383
28-Jan,2999
29-Jan,2341
30-Jan,2481
31-Jan,2441
1-Feb,2439
2-Feb,2441
3-Feb,2399
4-Feb,2399
5-Feb,2549
6-Feb,2699
7-Feb,2500
8-Feb,2500
9-Feb,3255
10-Feb,3989
11-Feb,3988
12-Feb,3499
13-Feb,3491
14-Feb,3399
15-Feb,3399
16-Feb,3399
17-Feb,3276
18-Feb,2999
19-Feb,3400
20-Feb,3400
21-Feb,3900
22-Feb,3900
23-Feb,3800
24-Feb,3900
25-Feb,3900
26-Feb,3875
27-Feb,3499
28-Feb,3670
1-Mar,2599
2-Mar,3675
3-Mar,3200
4-Mar,3200
5-Mar,3500
6-Mar,3491
7-Mar,3499
8-Mar,3449
9-Mar,3499
10-Mar,3449
11-Mar,3491
12-Mar,3495
13-Mar,3486
14-Mar,3486
15-Mar,3599
16-Mar,3498
17-Mar,3481
18-Mar,3449
19-Mar,3350
20-Mar,3599
21-Mar,3449
22-Mar,3449
23-Mar,3449
24-Mar,3449
25-Mar,3439
26-Mar,3350
27-Mar,3423
28-Mar,3449
29-Mar,4490
30-Mar,3449
31-Mar,3499
1-Apr,3499
2-Apr,3699
3-Apr,3699
4-Apr,3650
5-Apr,4250
6-Apr,3999
7-Apr,3999
8-Apr,3600
9-Apr,3669
10-Apr,3500
11-Apr,3500
12-Apr,3450
13-Apr,3400
14-Apr,3330
15-Apr,3300
16-Apr,3380
17-Apr,3380
18-Apr,3299
19-Apr,3246
20-Apr,3220
21-Apr,3371
22-Apr,3370
23-Apr,3361
24-Apr,3290
25-Apr,3281
26-Apr,3197
27-Apr,3178
28-Apr,3226
29-Apr,3290
30-Apr,3341
1-May,3349
2-May,3299
3-May,3299
4-May,3360
5-May,3361
6-May,3339
7-May,3346
8-May,3314
9-May,3350
10-May,3350
11-May,3350
12-May,3350
13-May,3360
14-May,3360
15-May,3360
16-May,3360
17-May,3360
18-May,3360
19-May,3360
20-May,3349
21-May,3349
22-May,3361
23-May,3349
24-May,3309
25-May,3344
26-May,3330
27-May,3355
28-May,3335
29-May,3335
30-May,3335
31-May,3335
1-Jun,3298
2-Jun,3365
3-Jun,3339
4-Jun,3299
5-Jun,3149
6-Jun,3249
7-Jun,3249
8-Jun,3249
9-Jun,3249
10-Jun,3084
11-Jun,3331
12-Jun,2999
13-Jun,3350
14-Jun,3329
15-Jun,3326
16-Jun,3345
17-Jun,3350
18-Jun,3349
19-Jun,3349
20-Jun,3347
21-Jun,2999
22-Jun,3220
23-Jun,2999
24-Jun,3200
25-Jun,3100
26-Jun,3199
27-Jun,2799
28-Jun,2999
29-Jun,2999
30-Jun,3099
1-Jul,2984
2-Jul,2935
3-Jul,2952
4-Jul,2918
5-Jul,2948
6-Jul,3900
7-Jul,3900
8-Jul,3900
9-Jul,3900
10-Jul,2833
11-Jul,2832
12-Jul,2832
13-Jul,2849
14-Jul,2814
15-Jul,2828
16-Jul,2750
17-Jul,2750
18-Jul,2750
19-Jul,2750
20-Jul,2799
21-Jul,2291
22-Jul,2295
23-Jul,2470
24-Jul,2299
25-Jul,2199
26-Jul,2299
27-Jul,2298
28-Jul,2184
29-Jul,2299
30-Jul,2429
31-Jul,2420
1-Aug,2498
2-Aug,2498
3-Aug,2750
4-Aug,2700
5-Aug,2799
6-Aug,2699
7-Aug,2749
8-Aug,2599
9-Aug,2795
10-Aug,2600
11-Aug,2795
12-Aug,2784
13-Aug,2799
14-Aug,2799
15-Aug,2799
16-Aug,2799
17-Aug,2399
18-Aug,2898
19-Aug,2898
20-Aug,2898
21-Aug,2898
22-Aug,2898
23-Aug,2898
24-Aug,2898
25-Aug,2799
26-Aug,2771
27-Aug,2705
28-Aug,2594
29-Aug,2594
30-Aug,2594
31-Aug,2704
1-Sep,2706
2-Sep,2748
3-Sep,2748
4-Sep,2748
5-Sep,2999
6-Sep,3399
7-Sep,3599
8-Sep,3299
9-Sep,3000
10-Sep,3000
11-Sep,2959
12-Sep,2959
13-Sep,2959
14-Sep,2949
15-Sep,3300
16-Sep,2949
17-Sep,2900
18-Sep,2900
19-Sep,2399
20-Sep,3370
21-Sep,3350
22-Sep,3195
23-Sep,3195
24-Sep,3195
25-Sep,3195
26-Sep,3195
27-Sep,2999
28-Sep,2999
29-Sep,2999
30-Sep,2999
1-Oct,2999
2-Oct,2882
3-Oct,2957
4-Oct,2957
5-Oct,2924
6-Oct,2899
7-Oct,2924
8-Oct,2924
9-Oct,2999
10-Oct,2999
11-Oct,2999
12-Oct,2999
13-Oct,2999
14-Oct,2899
15-Oct,2899
16-Oct,3000
17-Oct,3000
18-Oct,3000
19-Oct,2699
20-Oct,2699
21-Oct,2999
22-Oct,3100
23-Oct,3150
24-Oct,3150
25-Oct,3150
26-Oct,3150
27-Oct,3150
28-Oct,3150
