Date,Price,Last,Future,Difference
21/09/2020 0:00,2000,0,4000,2000
22/09/2020 0:00,4000,2000,4000,2000
23/09/2020 0:00,4000,4000,3500,0
24/09/2020 0:00,3500,4000,3500,-500
25/09/2020 0:00,3500,3500,3500,0
26/09/2020 0:00,3500,3500,3500,0
27/09/2020 0:00,3500,3500,3500,0
28/09/2020 0:00,3500,3500,3500,0
29/09/2020 0:00,3500,3500,3500,0
30/09/2020 0:00,3500,3500,3900,0
01/10/2020 0:00,3900,3500,3200,400
02/10/2020 0:00,3200,3900,3188,-700
03/10/2020 0:00,3188,3200,3000,-12
04/10/2020 0:00,3000,3188,3000,-188
05/10/2020 0:00,3000,3000,3000,0
06/10/2020 0:00,3000,3000,3188,0
07/10/2020 0:00,3188,3000,3188,188
08/10/2020 0:00,3188,3188,2900,0
09/10/2020 0:00,2900,3188,3499,-288
10/10/2020 0:00,3499,2900,3499,599
11/10/2020 0:00,3499,3499,2499,0
12/10/2020 0:00,2499,3499,3444,-1000
13/10/2020 0:00,3444,2499,3444,945
14/10/2020 0:00,3444,3444,3439,0
15/10/2020 0:00,3439,3444,3439,-5
16/10/2020 0:00,3439,3439,3499,0
17/10/2020 0:00,3499,3439,3416,60
18/10/2020 0:00,3416,3499,3416,-83
19/10/2020 0:00,3416,3416,3399,0
20/10/2020 0:00,3399,3416,2999,-17
21/10/2020 0:00,2999,3399,3399,-400
22/10/2020 0:00,3399,2999,3399,400
23/10/2020 0:00,3399,3399,3299,0
24/10/2020 0:00,3299,3399,3399,-100
25/10/2020 0:00,3399,3299,2990,100
26/10/2020 0:00,2990,3399,3399,-409
27/10/2020 0:00,3399,2990,3299,409
28/10/2020 0:00,3299,3399,3150,-100
29/10/2020 0:00,3150,3299,3099,-149
30/10/2020 0:00,3099,3150,2905,-51
31/10/2020 0:00,2905,3099,2905,-194
01/11/2020 0:00,2905,2905,2905,0
02/11/2020 0:00,2905,2905,2905,0
03/11/2020 0:00,2905,2905,2905,0
04/11/2020 0:00,2905,2905,2699,0
05/11/2020 0:00,2699,2905,2589,-206
06/11/2020 0:00,2589,2699,2439,-110
07/11/2020 0:00,2439,2589,2319,-150
