Date,Price,Last,Future,Difference
9/21/2020,2000,0,4000,2000
9/22/2020,4000,2000,4000,2000
9/23/2020,4000,4000,3500,0
9/24/2020,3500,4000,3500,-500
9/25/2020,3500,3500,3500,0
9/26/2020,3500,3500,3500,0
9/27/2020,3500,3500,3500,0
9/28/2020,3500,3500,3500,0
9/29/2020,3500,3500,3500,0
9/30/2020,3500,3500,3900,0
10/1/2020,3900,3500,3200,400
10/2/2020,3200,3900,3188,-700
10/3/2020,3188,3200,3000,-12
10/4/2020,3000,3188,3000,-188
10/5/2020,3000,3000,3000,0
10/6/2020,3000,3000,3188,0
10/7/2020,3188,3000,3188,188
10/8/2020,3188,3188,2900,0
10/9/2020,2900,3188,3499,-288
10/10/2020,3499,2900,3499,599
10/11/2020,3499,3499,2499,0
10/12/2020,2499,3499,3444,-1000
10/13/2020,3444,2499,3444,945
10/14/2020,3444,3444,3439,0
10/15/2020,3439,3444,3439,-5
10/16/2020,3439,3439,3499,0
10/17/2020,3499,3439,3416,60
10/18/2020,3416,3499,3416,-83
10/19/2020,3416,3416,3399,0
10/20/2020,3399,3416,2999,-17
10/21/2020,2999,3399,3399,-400
10/22/2020,3399,2999,3399,400
10/23/2020,3399,3399,3299,0
10/24/2020,3299,3399,3399,-100
10/25/2020,3399,3299,2990,100
10/26/2020,2990,3399,3399,-409
10/27/2020,3399,2990,3299,409
10/28/2020,3299,3399,3150,-100
10/29/2020,3150,3299,3099,-149
10/30/2020,3099,3150,2905,-51
10/31/2020,2905,3099,2905,-194
11/1/2020,2905,2905,2905,0
11/2/2020,2905,2905,2905,0
11/3/2020,2905,2905,2905,0
11/4/2020,2905,2905,2699,0
11/5/2020,2699,2905,2589,-206
11/6/2020,2589,2699,2439,-110
11/7/2020,2439,2589,2319,-150
11/8/2020,2319,2439,2149,-120
11/9/2020,2149,2319,2149,-170
11/10/2020,2149,2149,2149,0
11/11/2020,2149,2149,2400,0
11/12/2020,2400,2149,2794,251
11/13/2020,2794,2400,2699,394
11/14/2020,2699,2794,2699,-95
11/15/2020,2699,2699,2699,0
11/16/2020,2699,2699,2699,0
11/17/2020,2699,2699,2599,0
11/18/2020,2599,2699,2599,-100
11/19/2020,2599,2599,2594,0
11/20/2020,2594,2599,2700,-5
11/21/2020,2700,2594,2599,106
11/22/2020,2599,2700,2880,-101
11/23/2020,2880,2599,2699,281
11/24/2020,2699,2880,2700,-181
11/25/2020,2700,2699,2399,1
11/26/2020,2399,2700,2699,-301
11/27/2020,2699,2399,2500,300
11/28/2020,2500,2699,2500,-199
11/29/2020,2500,2500,2500,0
11/30/2020,2500,2500,2500,0
12/1/2020,2500,2500,2500,0
12/2/2020,2500,2500,2999,0
12/3/2020,2999,2500,2999,499
12/4/2020,2999,2999,2980,0
12/5/2020,2980,2999,2974,-19
12/6/2020,2974,2980,3799,-6
12/7/2020,3799,2974,2999,825
12/8/2020,2999,3799,3099,-800
12/9/2020,3099,2999,2650,100
12/10/2020,2650,3099,2650,-449
12/11/2020,2650,2650,2980,0
12/12/2020,2980,2650,2599,330
12/13/2020,2599,2980,2599,-381
12/14/2020,2599,2599,2588,0
12/15/2020,2588,2599,2599,-11
12/16/2020,2599,2588,2599,11
12/17/2020,2599,2599,2599,0
12/18/2020,2599,2599,2599,0
12/19/2020,2599,2599,2599,0
12/20/2020,2599,2599,2599,0
12/21/2020,2599,2599,2599,0
12/22/2020,2599,2599,2589,0
12/23/2020,2589,2599,2589,-10
12/24/2020,2589,2589,2589,0
12/25/2020,2589,2589,2581,0
12/26/2020,2581,2589,3099,-8
12/27/2020,3099,2581,3274,518
12/28/2020,3274,3099,3090,175
12/29/2020,3090,3274,2599,-184
12/30/2020,2599,3090,2599,-491
12/31/2020,2599,2599,2200,0
1/1/2021,2200,2599,2175,-399
1/2/2021,2175,2200,2249,-25
1/3/2021,2249,2175,2200,74
1/4/2021,2200,2249,2199,-49
1/5/2021,2199,2200,2449,-1
1/6/2021,2449,2199,2439,250
1/7/2021,2439,2449,2411,-10
1/8/2021,2411,2439,2299,-28
1/9/2021,2299,2411,2198,-112
1/10/2021,2198,2299,2298,-101
1/11/2021,2298,2198,2298,100
1/12/2021,2298,2298,2279,0
1/13/2021,2279,2298,2425,-19
1/14/2021,2425,2279,2409,146
1/15/2021,2409,2425,2425,-16
1/16/2021,2425,2409,2409,16
1/17/2021,2409,2425,2397,-16
1/18/2021,2397,2409,2397,-12
1/19/2021,2397,2397,2350,0
1/20/2021,2350,2397,2325,-47
1/21/2021,2325,2350,2383,-25
1/22/2021,2383,2325,2999,58
1/23/2021,2999,2383,2341,616
1/24/2021,2341,2999,2481,-658
1/25/2021,2481,2341,2441,140
1/26/2021,2441,2481,2439,-40
1/27/2021,2439,2441,2441,-2
1/28/2021,2441,2439,2399,2
1/29/2021,2399,2441,2399,-42
1/30/2021,2399,2399,2549,0
1/31/2021,2549,2399,2699,150
2/1/2021,2699,2549,2500,150
2/2/2021,2500,2699,2500,-199
2/3/2021,2500,2500,3255,0
2/4/2021,3255,2500,3989,755
2/5/2021,3989,3255,3988,734
2/6/2021,3988,3989,3499,-1
2/7/2021,3499,3988,3491,-489
2/8/2021,3491,3499,3399,-8
2/9/2021,3399,3491,3399,-92
2/10/2021,3399,3399,3399,0
2/11/2021,3399,3399,3276,0
2/12/2021,3276,3399,2999,-123
2/13/2021,2999,3276,3400,-277
2/14/2021,3400,2999,3400,401
2/15/2021,3400,3400,3900,0
2/16/2021,3900,3400,3900,500
2/17/2021,3900,3900,3800,0
2/18/2021,3800,3900,3900,-100
2/19/2021,3900,3800,3900,100
2/20/2021,3900,3900,3875,0
2/21/2021,3875,3900,3499,-25
2/22/2021,3499,3875,3670,-376
2/23/2021,3670,3499,2599,171
2/24/2021,2599,3670,3675,-1071
2/25/2021,3675,2599,3200,1076
2/26/2021,3200,3675,3200,-475
2/27/2021,3200,3200,3500,0
2/28/2021,3500,3200,3491,300
3/1/2021,3491,3500,3499,-9
3/2/2021,3499,3491,3449,8
3/3/2021,3449,3499,3499,-50
3/4/2021,3499,3449,3449,50
3/5/2021,3449,3499,3491,-50
3/6/2021,3491,3449,3495,42
3/7/2021,3495,3491,3486,4
3/8/2021,3486,3495,3486,-9
3/9/2021,3486,3486,3599,0
